,HS4,NAICS2
114,2401,31
115,2401,31
116,2401,31
117,2401,31
118,2401,31
119,2401,31
120,2401,31
121,2401,31
122,2401,31
123,2401,31
124,2401,31
125,2401,31
126,2401,31
127,2401,31
128,2401,31
129,2401,31
130,2401,31
131,2401,31
132,2401,31
133,2401,31
134,2401,31
135,2401,31
136,2401,31
137,2401,31
138,2401,31
139,2401,31
140,2401,31
141,2401,31
142,2401,31
143,2401,31
144,2401,31
145,2401,31
146,2401,31
147,2401,31
148,2401,31
149,2401,31
150,2401,31
151,2401,31
152,2401,31
153,2401,31
154,2401,31
155,2401,31
156,2401,31
157,2401,31
158,2401,31
159,2401,31
160,2401,31
161,2401,31
162,2401,31
163,2401,31
164,2401,31
165,2401,31
166,2401,31
167,2401,31
168,2401,31
169,2401,31
170,2401,31
171,2401,31
172,2401,31
173,2401,31
174,2401,31
175,2401,31
176,2401,31
177,2401,31
178,2401,31
179,2401,31
180,2401,31
181,2401,31
182,2401,31
183,2401,31
184,2401,31
185,2401,31
186,2401,31
187,2401,31
188,2401,31
189,2401,31
190,2401,31
191,2401,31
192,2403,31
193,2403,31
194,2403,31
195,2403,31
196,2403,31
197,2403,31
198,2403,31
199,2403,31
200,5208,31
201,5208,31
202,5208,31
203,5208,31
204,5208,31
205,5208,31
206,5208,31
207,5208,31
208,5208,31
209,5208,31
210,5208,31
211,5208,31
212,5208,31
213,5208,31
214,5208,31
215,5208,31
216,5208,31
217,5208,31
218,5208,31
219,5208,31
220,5208,31
221,5208,31
222,5208,31
223,5208,31
224,5208,31
225,5208,31
226,5208,31
227,5208,31
228,5208,31
229,5208,31
230,5208,31
231,5208,31
232,5208,31
233,5208,31
234,5208,31
235,5208,31
236,5208,31
237,5208,31
238,5208,31
239,5208,31
240,5209,31
241,5209,31
242,5209,31
243,5209,31
244,5209,31
245,5209,31
246,5209,31
247,5209,31
248,5209,31
249,5209,31
250,5210,31
251,5210,31
252,5210,31
253,5210,31
254,5210,31
255,5210,31
256,5210,31
257,5210,31
258,5210,31
259,5210,31
260,5210,31
261,5210,31
262,5210,31
263,5210,31
264,5210,31
265,5210,31
266,5210,31
267,5210,31
268,5211,31
269,5211,31
270,5211,31
271,5211,31
272,5211,31
273,5211,31
274,5211,31
275,5211,31
276,5211,31
277,5211,31
278,5212,31
279,5212,31
280,5212,31
281,5212,31
282,5212,31
283,5212,31
284,5212,31
285,5212,31
286,5212,31
287,5212,31
288,5212,31
289,5212,31
290,5212,31
291,5212,31
292,5212,31
293,5212,31
294,5212,31
295,5212,31
296,5212,31
297,5212,31
298,5212,31
299,5212,31
300,5803,31
301,5803,31
302,5208,31
303,5208,31
304,5208,31
305,5208,31
306,5208,31
307,5208,31
308,5208,31
