,HS4,NAICS2
1303,2609,21
1304,2612,21
1305,2612,21
1306,2614,21
1307,2614,21
1308,2614,21
1309,2614,21
1310,2615,21
1311,2615,21
1312,2617,21
1313,2617,21
1314,2617,21
1315,2701,21
1316,2701,21
1317,2701,21
1318,2702,21
1319,2702,21
1320,2701,21
1321,2709,21
1322,2709,21
1323,2711,21
1324,2710,21
1325,2710,21
1326,2711,21
1327,2711,21
1328,2711,21
1329,2711,21
1330,2711,21
1331,2711,21
1332,2711,21
1333,2711,21
1334,2711,21
1335,2711,21
1336,2711,21
1337,2711,21
1338,2711,21
1339,2711,21
1340,2506,21
1341,2506,21
1342,2506,21
1343,2506,21
1344,2506,21
1345,2514,21
1346,2515,21
1347,2515,21
1348,2515,21
1349,2515,21
1350,2515,21
1351,2516,21
1352,2516,21
1353,2516,21
1354,2516,21
1355,2516,21
1356,2509,21
1357,2509,21
1358,2509,21
1359,2517,21
1360,2517,21
1361,2517,21
1362,2517,21
1363,2517,21
1364,2518,21
1365,2521,21
1366,2505,21
1367,2505,21
1368,2505,21
1369,2505,21
1370,2507,21
1371,2508,21
1372,2508,21
1373,2508,21
1374,2508,21
1375,2508,21
1376,2508,21
1377,2508,21
1378,2508,21
1379,2519,21
1380,2529,21
1381,2529,21
1382,2529,21
1383,2529,21
1384,2528,21
1385,2528,21
1386,2528,21
1387,2528,21
1388,3104,21
1389,2511,21
1390,2511,21
1391,2511,21
1392,2503,21
1393,2503,21
1394,2503,21
1395,2502,21
1396,2511,21
1397,2529,21
1398,2529,21
1399,2530,21
1400,2530,21
1401,2530,21
1402,2530,21
1403,2530,21
1404,2530,21
1405,2530,21
1406,2510,21
1407,2510,21
1408,2501,31
1409,2501,32
1410,2501,32
1411,2501,32
1412,1519,31
1413,1519,32
1414,1519,32
1415,1519,32
1416,1519,31
1417,1519,32
1418,1519,32
1419,1519,32
1420,1519,31
1421,1519,32
1422,1519,32
1423,1519,32
1424,1519,31
1425,1519,32
1426,1519,32
1427,1519,32
1428,1519,31
1429,1519,32
1430,1519,32
1431,1519,32
1432,1519,31
1433,1519,32
1434,1519,32
1435,1519,32
1436,1519,31
1437,1519,32
1438,1519,32
1439,1519,32
1440,1519,31
1441,1519,32
1442,1519,32
1443,1519,32
1444,2915,31
1445,2915,32
1446,2915,32
1447,2915,32
1448,2915,31
1449,2915,32
1450,2915,32
1451,2915,32
1452,2915,31
1453,2915,32
1454,2915,32
1455,2915,32
1456,2915,31
1457,2915,32
1458,2915,32
1459,2915,32
1460,2915,31
1461,2915,32
1462,2915,32
1463,2915,32
1464,2915,31
1465,2915,32
1466,2915,32
1467,2915,32
1468,2915,31
1469,2915,32
1470,2915,32
1471,2915,32
1472,2916,31
1473,2916,32
1474,2916,32
1475,2916,32
1476,3503,31
1477,3503,32
1478,3503,32
1479,3503,32
1480,3503,31
1481,3503,32
1482,3503,32
1483,3503,32
1484,3503,31
1485,3503,32
1486,3503,32
1487,3503,32
1488,3503,31
1489,3503,32
1490,3503,32
1491,3503,32
1492,3503,31
1493,3503,32
1494,3503,32
1495,3503,32
1496,9602,31
1497,9602,32
1498,9602,32
1499,9602,32
1500,9602,31
1501,9602,32
1502,9602,32
1503,9602,32
1504,1521,31
1505,1521,32
1506,1521,32
1507,1521,32
1508,1521,31
1509,1521,32
1510,1521,32
1511,1521,32
1512,1521,31
1513,1521,32
1514,1521,32
1515,1521,32
1516,1521,31
1517,1521,32
1518,1521,32
1519,1521,32
1520,1521,31
1521,1521,32
1522,1521,32
1523,1521,32
1524,1521,31
1525,1521,32
1526,1521,32
1527,1521,32
1528,1521,31
1529,1521,32
1530,1521,32
1531,1521,32
1532,3207,31
1533,3207,32
1534,3207,32
1535,3207,32
1536,3207,31
1537,3207,32
1538,3207,32
1539,3207,32
1540,3207,31
1541,3207,32
1542,3207,32
1543,3207,32
1544,3207,31
1545,3207,32
1546,3207,32
1547,3207,32
1548,3207,31
1549,3207,32
1550,3207,32
1551,3207,32
1552,3215,31
1553,3215,32
1554,3215,32
1555,3215,32
1556,3301,31
1557,3301,32
1558,3301,32
1559,3301,32
1560,3301,31
1561,3301,32
1562,3301,32
1563,3301,32
1564,3301,31
1565,3301,32
1566,3301,32
1567,3301,32
1568,3301,31
1569,3301,32
1570,3301,32
1571,3301,32
1572,3301,31
1573,3301,32
1574,3301,32
1575,3301,32
1576,3301,31
1577,3301,32
1578,3301,32
1579,3301,32
1580,3301,31
1581,3301,32
1582,3301,32
1583,3301,32
1584,3301,31
1585,3301,32
1586,3301,32
1587,3301,32
1588,3301,31
1589,3301,32
1590,3301,32
1591,3301,32
1592,3301,31
1593,3301,32
1594,3301,32
1595,3301,32
1596,3301,31
1597,3301,32
1598,3301,32
1599,3301,32
1600,3301,31
1601,3301,32
1602,3301,32
1603,3301,32
1604,3301,31
1605,3301,32
1606,3301,32
1607,3301,32
1608,3301,31
1609,3301,32
1610,3301,32
1611,3301,32
1612,3301,31
1613,3301,32
1614,3301,32
1615,3301,32
1616,3301,31
1617,3301,32
1618,3301,32
1619,3301,32
1620,3301,31
1621,3301,32
1622,3301,32
1623,3301,32
1624,3301,31
1625,3301,32
1626,3301,32
1627,3301,32
1628,3301,31
1629,3301,32
1630,3301,32
1631,3301,32
1632,3301,31
1633,3301,32
1634,3301,32
1635,3301,32
1636,3301,31
1637,3301,32
1638,3301,32
1639,3301,32
1640,3301,31
1641,3301,32
1642,3301,32
1643,3301,32
1644,3301,31
1645,3301,32
1646,3301,32
1647,3301,32
1648,3301,31
1649,3301,32
1650,3301,32
1651,3301,32
1652,3301,31
1653,3301,32
1654,3301,32
1655,3301,32
1656,3301,31
1657,3301,32
1658,3301,32
1659,3301,32
1660,3301,31
1661,3301,32
1662,3301,32
1663,3301,32
1664,3301,31
1665,3301,32
1666,3301,32
1667,3301,32
1668,3301,31
1669,3301,32
1670,3301,32
1671,3301,32
1672,3301,31
1673,3301,32
1674,3301,32
1675,3301,32
1676,3301,31
1677,3301,32
1678,3301,32
1679,3301,32
1680,3301,31
1681,3301,32
1682,3301,32
1683,3301,32
1684,3301,31
1685,3301,32
1686,3301,32
1687,3301,32
1688,3301,31
1689,3301,32
1690,3301,32
1691,3301,32
1692,3301,31
1693,3301,32
1694,3301,32
1695,3301,32
1696,3301,31
1697,3301,32
1698,3301,32
1699,3301,32
1700,3301,31
1701,3301,32
1702,3301,32
1703,3301,32
1704,3301,31
1705,3301,32
1706,3301,32
1707,3301,32
1708,3301,31
1709,3301,32
1710,3301,32
1711,3301,32
1712,3301,31
1713,3301,32
1714,3301,32
1715,3301,32
1716,3301,31
1717,3301,32
1718,3301,32
1719,3301,32
1720,3301,31
1721,3301,32
1722,3301,32
1723,3301,32
1724,3301,31
1725,3301,32
1726,3301,32
1727,3301,32
1728,3301,31
1729,3301,32
1730,3301,32
1731,3301,32
1732,3307,31
1733,3307,32
1734,3307,32
1735,3307,32
1736,3604,31
1737,3604,32
1738,3604,32
1739,3604,32
1740,3604,31
1741,3604,32
1742,3604,32
1743,3604,32
1744,3606,31
1745,3606,32
1746,3606,32
1747,3606,32
1748,3606,31
1749,3606,32
1750,3606,32
1751,3606,32
1752,3606,31
1753,3606,32
1754,3606,32
1755,3606,32
1756,3606,31
1757,3606,32
1758,3606,32
1759,3606,32
1760,3809,31
1761,3809,32
1762,3809,32
1763,3809,32
1764,3809,31
1765,3809,32
1766,3809,32
1767,3809,32
1768,3810,31
1769,3810,32
1770,3810,32
1771,3810,32
1772,3810,31
1773,3810,32
1774,3810,32
1775,3810,32
1776,3810,31
1777,3810,32
1778,3810,32
1779,3810,32
1780,3810,31
1781,3810,32
1782,3810,32
1783,3810,32
1784,3810,31
1785,3810,32
1786,3810,32
1787,3810,32
1788,3811,31
1789,3811,32
1790,3811,32
1791,3811,32
1792,3811,31
1793,3811,32
1794,3811,32
1795,3811,32
1796,3811,31
1797,3811,32
1798,3811,32
1799,3811,32
1800,3811,31
1801,3811,32
1802,3811,32
1803,3811,32
1804,3811,31
1805,3811,32
1806,3811,32
1807,3811,32
1808,3811,31
1809,3811,32
1810,3811,32
1811,3811,32
1812,3811,31
1813,3811,32
1814,3811,32
1815,3811,32
1816,3812,31
1817,3812,32
1818,3812,32
1819,3812,32
1820,3812,31
1821,3812,32
1822,3812,32
1823,3812,32
1824,3812,31
1825,3812,32
1826,3812,32
1827,3812,32
1828,3812,31
1829,3812,32
1830,3812,32
1831,3812,32
1832,3812,31
1833,3812,32
1834,3812,32
1835,3812,32
1836,3812,31
1837,3812,32
1838,3812,32
1839,3812,32
1840,3812,31
1841,3812,32
1842,3812,32
1843,3812,32
1844,3812,31
1845,3812,32
1846,3812,32
1847,3812,32
1848,3812,31
1849,3812,32
1850,3812,32
1851,3812,32
1852,3812,31
1853,3812,32
1854,3812,32
1855,3812,32
1856,3813,31
1857,3813,32
1858,3813,32
1859,3813,32
1860,3813,31
1861,3813,32
1862,3813,32
1863,3813,32
1864,3813,31
1865,3813,32
1866,3813,32
1867,3813,32
1868,3820,31
1869,3820,32
1870,3820,32
1871,3820,32
1872,3823,31
1873,3823,32
1874,3823,32
1875,3823,32
1876,3823,31
1877,3823,32
1878,3823,32
1879,3823,32
1880,3823,31
1881,3823,32
1882,3823,32
1883,3823,32
1884,3823,31
1885,3823,32
1886,3823,32
1887,3823,32
1888,3823,31
1889,3823,32
1890,3823,32
1891,3823,32
1892,2525,21
1893,2525,21
1894,2525,21
1895,2525,21
1896,2525,21
1897,2525,21
1898,2525,21
1899,2525,21
1900,2525,21
1901,2525,21
1902,2517,21
1903,2517,21
1904,2517,21
1905,2517,21
1906,2714,21
1907,2714,21
1908,2714,21
1909,2714,21
1910,2513,21
1911,2513,21
1912,2513,21
1913,2513,21
1914,2513,21
1915,2513,21
1916,2513,21
1917,2513,21
1918,2703,21
1919,2703,21
1920,2520,21
1921,2520,21
1922,2512,21
1923,2512,21
1924,2524,21
1925,2524,21
1926,2524,21
1927,2524,21
1928,2524,21
1929,2524,21
1930,2524,21
1931,2524,21
1932,2524,21
1933,2524,21
1934,2524,21
1935,2524,21
1936,2524,21
1937,2524,21
1938,2526,21
1939,2526,21
1940,2526,21
1941,2526,21
1942,2527,21
1943,2527,21
1944,2530,21
1945,2530,21
1946,2530,21
1947,2530,21
1948,2530,21
1949,2530,21
1950,2530,21
1951,2530,21
1952,2530,21
1953,2530,21
1954,2530,21
1955,2530,21
1956,0201,31
1957,0201,31
1958,0201,31
1959,0201,31
1960,0201,31
1961,0201,31
1962,0201,31
1963,0201,31
1964,0201,31
1965,0201,31
1966,0202,31
1967,0202,31
1968,0202,31
1969,0202,31
1970,0202,31
1971,0202,31
1972,0202,31
1973,0202,31
1974,0202,31
1975,0202,31
1976,0206,31
1977,0206,31
1978,0206,31
1979,0206,31
1980,0210,31
1981,0204,31
1982,0204,31
1983,0204,31
1984,0204,31
1985,0204,31
1986,0204,31
1987,0204,31
1988,0204,31
1989,0204,31
1990,0204,31
1991,0204,31
1992,0204,31
1993,0204,31
1994,0204,31
1995,0204,31
1996,0206,31
1997,0203,31
1998,0203,31
1999,0203,31
2000,0203,31
2001,0203,31
2002,0203,31
2003,0203,31
2004,0203,31
2005,0203,31
2006,0203,31
2007,0203,31
2008,0203,31
2009,0203,31
2010,0203,31
2011,0203,31
2012,0203,31
2013,0203,31
2014,0203,31
2015,0206,31
2016,0206,31
2017,0206,31
2018,1501,31
2019,4101,31
2020,4101,31
2021,4101,31
2022,4101,31
2023,4101,31
2024,4101,31
2025,4101,31
2026,4101,31
2027,4101,31
2028,4101,31
2029,4101,31
2030,4102,31
2031,4102,31
2032,4102,31
2033,4102,31
2034,4102,31
2035,4102,31
2036,4102,31
2037,4102,31
2038,4103,31
2039,4103,31
2040,4103,31
2041,4103,31
2042,4103,31
2043,4103,31
2044,0204,31
2045,0205,31
2046,0206,31
2047,0206,31
2048,0210,31
2049,0210,31
2050,0502,31
2051,0504,31
2052,0504,31
2053,0504,31
2054,0506,31
2055,0506,31
2056,0506,31
2057,0506,31
2058,0510,31
2059,0510,31
2060,0510,31
2061,0511,31
2062,1502,31
2063,1602,31
2064,1602,31
2065,1602,31
2066,1603,31
2067,3917,31
2068,3917,31
2069,3917,31
2070,0209,31
2071,0209,31
2072,0210,31
2073,0210,31
2074,0210,31
2075,0210,31
2076,0210,31
2077,0210,31
2078,0210,31
2079,0210,31
2080,0210,31
2081,0210,31
2082,0210,31
2083,0210,31
2084,0210,31
2085,0210,31
2086,0210,31
2087,0210,31
2088,1602,31
2089,1602,31
2090,1602,31
2091,1602,31
2092,1602,31
2093,1602,31
2094,1602,31
2095,1602,31
2096,1602,31
2097,1602,31
2098,1602,31
2099,1602,31
2100,1602,31
2101,1602,31
2102,1602,31
2103,1602,31
2104,1601,31
2105,1601,31
2106,1601,31
2107,1601,31
2108,1601,31
2109,1601,31
2110,1601,31
2111,1601,31
2112,1602,31
2113,1602,31
2114,1602,31
2115,1602,31
2116,1602,31
2117,1602,31
2118,1602,31
2119,1602,31
2120,1602,31
2121,1602,31
2122,1602,31
2123,1602,31
2124,1602,31
2125,1602,31
2126,1601,31
2127,1601,31
2128,1601,31
2129,1601,31
2130,1601,31
2131,1601,31
2132,1601,31
2133,1601,31
2134,1602,31
2135,1602,31
2136,1602,31
2137,1602,31
2138,1602,31
2139,1602,31
2140,1602,31
2141,1602,31
2142,1602,31
2143,1602,31
2144,1602,31
2145,1602,31
2146,1602,31
2147,1602,31
2148,1602,31
2149,1602,31
2150,1602,31
2151,1602,31
2152,1602,31
2153,1602,31
2154,1602,31
2155,1602,31
2156,0207,31
2157,0207,31
2158,0207,31
2159,0207,31
2160,0207,31
2161,0207,31
2162,0207,31
2163,0207,31
2164,0207,31
2165,0207,31
2166,0207,31
2167,0207,31
2168,0207,31
2169,0207,31
2170,0207,31
2171,0207,31
2172,0207,31
2173,0207,31
2174,0207,31
2175,0207,31
2176,0207,31
2177,0207,31
2178,0207,31
2179,0207,31
2180,0207,31
2181,0207,31
2182,0207,31
2183,0207,31
2184,0207,31
2185,0207,31
2186,0207,31
2187,0207,31
2188,0207,31
2189,0207,31
2190,0208,31
2191,0208,31
2192,0208,31
2193,0208,31
2194,0208,31
2195,0208,31
2196,0208,31
2197,0208,31
2198,0208,31
2199,0208,31
2200,0208,31
2201,0208,31
2202,0210,31
2203,0210,31
2204,1602,31
2205,1602,31
2206,1602,31
2207,1602,31
2208,1602,31
2209,1602,31
2210,1602,31
2211,1602,31
2212,1602,31
2213,1602,31
2214,1602,31
2215,1602,31
2216,1602,31
2217,1602,31
2218,1602,31
2219,1602,31
2220,0408,31
2221,0408,31
2222,0408,31
2223,0408,31
2224,0408,31
2225,0408,31
2226,0408,31
2227,0408,31
2228,3502,31
2229,3502,31
2230,3502,31
2231,3502,31
2232,0405,31
2233,0405,31
2234,0405,31
2235,0405,31
2236,0405,31
2237,0406,31
2238,0406,31
2239,0406,31
2240,0406,31
2241,0406,31
2242,0406,31
2243,0406,31
2244,0406,31
2245,0406,31
2246,0406,31
2247,0406,31
2248,0406,31
2249,0406,31
2250,0406,31
2251,0406,31
2252,0406,31
2253,0406,31
2254,0406,31
2255,0406,31
2256,0406,31
2257,0406,31
2258,0406,31
2259,0406,31
2260,0406,31
2261,0406,31
2262,0406,31
2263,0406,31
2264,0406,31
2265,0406,31
2266,0406,31
2267,0406,31
2268,0406,31
2269,0406,31
2270,0406,31
2271,0406,31
2272,0406,31
2273,0406,31
2274,0406,31
2275,0406,31
2276,0406,31
2277,0406,31
2278,0406,31
2279,0406,31
2280,0406,31
2281,0406,31
2282,0406,31
2283,0406,31
2284,0406,31
2285,0406,31
2286,0406,31
2287,0406,31
2288,0406,31
2289,0406,31
2290,0406,31
2291,0406,31
2292,0406,31
2293,0406,31
2294,0406,31
2295,0406,31
2296,0406,31
2297,0406,31
2298,0406,31
2299,0406,31
2300,0406,31
2301,0406,31
2302,0406,31
2303,0406,31
2304,0406,31
2305,0406,31
2306,0406,31
2307,0406,31
2308,0406,31
2309,0406,31
2310,0406,31
2311,0406,31
2312,0406,31
2313,0406,31
2314,0406,31
2315,0406,31
2316,0406,31
2317,0406,31
2318,0406,31
2319,0406,31
2320,0406,31
2321,0406,31
2322,0406,31
2323,0406,31
2324,0406,31
2325,0406,31
2326,0406,31
2327,0406,31
2328,0406,31
2329,0406,31
2330,0406,31
2331,0406,31
2332,0406,31
2333,0406,31
2334,0406,31
2335,0406,31
2336,0406,31
2337,0406,31
2338,0406,31
2339,0406,31
2340,0406,31
2341,0406,31
2342,0406,31
2343,0406,31
2344,0406,31
2345,0406,31
2346,0406,31
2347,0406,31
2348,0406,31
2349,0406,31
2350,0406,31
2351,0406,31
2352,0406,31
2353,0406,31
2354,0406,31
2355,0406,31
2356,0406,31
2357,0406,31
2358,0406,31
2359,0406,31
2360,0406,31
2361,0406,31
2362,0406,31
2363,0406,31
2364,0406,31
2365,0406,31
2366,0406,31
2367,0406,31
2368,0406,31
2369,0406,31
2370,0406,31
2371,0406,31
2372,0406,31
2373,0406,31
2374,0406,31
2375,0404,31
2376,0404,31
2377,0403,31
2378,0403,31
2379,0403,31
2380,0403,31
2381,0401,31
2382,0401,31
2383,0401,31
2384,0401,31
2385,0401,31
2386,0401,31
2387,0401,31
2388,0401,31
2389,0401,31
2390,0401,31
2391,0401,31
2392,0401,31
2393,0401,31
2394,0401,31
2395,0403,31
2396,0403,31
2397,1901,31
2398,1901,31
2399,1901,31
2400,1901,31
2401,1901,31
2402,1901,31
2403,1901,31
2404,1901,31
2405,1901,31
2406,1901,31
2407,2202,31
2408,2202,31
2409,2202,31
2410,2202,31
2411,2202,31
2412,2202,31
2413,0402,31
2414,0402,31
2415,0402,31
2416,0402,31
2417,0402,31
2418,0402,31
2419,0402,31
2420,0402,31
2421,0402,31
2422,0402,31
2423,0402,31
2424,0402,31
